df1.product,df1.route,df1.tons,df1.usd
5,1,31235.04,82411
5,3,0.001,406
5,1,0.096,1242
5,2,500,22547
5,2,4000,46704
5,1,12000,67288
1,1,20.92,5079
1,1,6923.223,43882
1,2,108,14102
1,1,63,10034
1,1,20,11014
1,1,22.02,13040
1,2,54,9489
1,2,27,5753
1,2,2000,18090
1,2,54,9915
1,1,3733,37258
1,1,144.188,6445
1,1,1760,27291
1,1,15217.283,56860
1,2,90,22679
1,2,454.1,26872
1,2,479.4,45299
1,4,4.35,2876
1,2,100,3002
1,2,50,9243
1,1,420,13556
1,2,240,25361
1,2,11.976,3392
1,2,25,2163
1,2,0.24,654
1,2,53.946,9027
1,2,2988.08,33478
1,2,285,20756
1,2,4100.1,57584
1,3,2.43,3019
1,4,0.867,1051
1,1,2.2,5859
1,1,18.7,8742
2,1,3150,46155
2,1,16500,70830
2,1,12000,67554
2,1,15688.385,70490
2,1,31000,82645
2,1,1000,30299
2,1,10000,64865
2,1,18000,74869
2,1,10000,59906
2,1,2500,40909
2,1,1000,29228
2,1,4020,45715
2,1,7500,57884
2,1,41167.169,88010
2,1,16500,73073
2,1,7500,58865
2,1,6538.87,55562
2,1,9263.97,59900
2,1,6000,51480
2,1,350,19294
2,1,27761,79936
2,1,26453.5,79708
2,1,672.215,23964
2,1,23536.13,78680
2,1,12245.05,63952
2,1,6500,54504
2,1,23000,76996
2,1,5746.13,50173
2,1,9228.956,62725
2,1,2000,36502
2,1,7350,59974
2,1,500,22003
2,1,19045,75815
2,1,4000,45241
2,1,48178.633,89765
2,1,9648.2,61233
2,1,3400,45154
2,1,19000,74617
2,1,22000,79316
2,1,1800,38190
2,1,10267.86,62969
2,1,12000,64757
2,1,17180,72031
2,1,283718.022,98579
2,2,4500,47546
2,1,36245.765,84413
2,1,30525.455,82816
2,1,40225.109,86139
2,1,17000,73777
2,1,21091.185,74308
2,1,1204.653,32612
2,1,16.175,4356
2,1,52620.845,91447
2,1,122.76,14862
2,1,2,839
2,1,30983.26,84938
2,1,11000,66948
2,1,21930,79692
2,1,32678.485,81261
2,1,21000,76114
2,2,2992.1,42677
2,1,34907.5,86252
2,1,10000,65254
2,1,341.22,23852
2,1,54067.68,92316
2,1,9000,57361
2,1,98.475,13657
2,1,17133,71853
2,1,13210.5,67257
2,1,5000,52160
2,1,3737,45216
2,1,6000,53317
2,2,16000,71388
2,1,3000,44198
2,1,3000,43628
2,1,5000,48630
2,1,15604.808,73283
2,1,5522,50625
2,1,6000,53327
2,1,7922.96,57689
2,1,6000,55539
2,1,0.4,93
3,1,7866,71411
3,1,5000,61374
3,1,5000,62438
3,1,1000,36883
3,1,1000,37270
3,1,2650,51167
3,1,5000,63719
3,1,45784,95210
3,1,259.238,25466
3,1,1000,37284
3,1,4000,59618
3,1,910,35796
3,1,3000,53490
3,1,2050,47543
3,1,12000,79700
3,1,16940,83947
3,1,1500,42315
3,2,0.284,232
3,4,174.145,21896
3,1,1236.85,39583
3,2,499.565,34124
3,1,5500,63519
3,1,1000,36883
3,1,21.75,5340
3,1,2000,46376
3,1,1000,36475
3,1,11450,77491
3,1,6000,65788
3,1,9850,75039
3,1,10102.304,76478
3,1,9000,72735
3,1,23633.09,90431
3,1,293.256,26786
3,2,500,27661
3,1,216.91,20165
3,2,5500,63862
3,1,263.15,21207
4,1,29414.373,84716
4,1,21191.96,79886
4,1,1774,37566
4,1,3435,47658
4,1,5000,50242
4,1,438,20931
4,1,5024,53773
4,1,148,12308
4,1,16028.739,73129
4,1,1026.976,30448
4,1,106,16115
4,1,350,19114
4,1,147.43,12344
4,1,20000,75180
4,1,1497,34871
4,1,919.39,28695
4,1,57070,91907
4,5,16624.672,70075
4,5,7346.868,55533
4,1,21417,79314
4,1,1000,30430
4,1,25097.81,81474
4,1,2735,44441
4,1,6865.13,58302
4,1,35000,85040
4,1,11000,65217
4,1,27643.735,83234
4,1,39671.648,88326
4,1,58366.533,91786
4,1,77750,94870
4,1,12179.87,65537
4,1,3467,47490
4,1,939.883,29276
4,1,16500,73437
4,1,10000,64162
4,5,9264.04,58709
4,1,567,24597
4,1,18160.846,76158
4,1,8925,63039
4,1,1765.9,37629
4,1,3500,47399
4,1,15434.068,73513
4,1,7423,60059
4,1,14367.5,71965
4,1,5640.34,54985
4,1,24589.13,81215
4,1,266467.776,98648
4,2,7500,57105
4,2,11000,65644
4,2,30716.76,82275
4,1,6000,56460
4,1,4000,49599
4,1,16500,73702
4,1,8448.154,61811
4,1,176.64,13238
4,1,24824.54,81347
4,1,168,13294
4,1,55000,91790
4,1,25241,81442
4,1,770,27102
4,1,2000,39028
4,1,2554.392,42830
4,1,181439.825,98167
4,1,22554.46,80053
4,1,4945.54,52712
4,1,2000,39163
4,1,998.1,30215
4,2,3000,42180
4,2,6546.41,55230
4,2,39996.812,86062
4,1,10300,65303
4,1,34202.798,86050
4,1,13755.97,69117
4,1,1033.141,30495
5,1,0.02,125
5,1,28000,82620
5,3,0.001,25
5,3,0.057,109
5,1,43,6342
5,1,14000,71887
5,2,0.05,133
5,4,0.117,173
5,1,86,10115
5,2,41.4,6424
5,1,225.5,15414
5,2,4200,50025
5,1,14000,70697
5,1,6200,55846
5,1,20000,78001
5,3,0.048,97
5,1,12000,68094
5,1,7000,57918
5,1,14000,71839
5,1,14000,68482
5,1,90138,94900
5,1,14000,72045
5,1,14000,70468
5,1,4.471,2608
5,2,150,12459
5,2,5000,50152
5,1,30000,83654
1,1,2.257,2969
1,2,81,11131
1,1,63,10814
1,1,124.93,14616
1,1,22.752,13523
1,2,25,5600
1,2,410.716,31621
1,2,27,6852
1,2,108,13111
1,2,32.775,15533
1,1,5.04,3314
1,1,5037.24,39310
1,2,27.5,3118
1,1,16110,57197
1,2,28.7,5050
1,2,408,25309
1,2,172.6,34490
1,4,4.667,2975
1,2,79.2,11246
1,1,1.836,2344
1,2,81,11668
1,2,329.2,29441
1,2,27,5936
1,2,58,9557
1,2,14,9483
1,2,81,11124
1,2,3849.8,56131
1,1,18,4329
1,1,63,9876
1,3,0.156,1088
1,3,1.62,7724
1,2,22.142,15770
1,1,107.5,12977
2,1,2185.43,37627
2,1,5000,50192
2,1,29244.505,80900
2,1,30378.618,83227
2,1,7935.835,61078
2,1,10000,64397
2,1,4966.339,51258
2,1,1456,31487
2,1,7802.758,59425
2,1,10000,64467
2,1,1000,28709
2,1,5000,52001
2,1,1795.257,35527
2,1,37640.95,86054
2,1,2000,37520
2,1,1000,28709
2,1,9509.675,61900
2,1,9139,59311
2,1,9989.816,65342
2,1,24870.455,79382
2,1,1908.616,36538
2,1,17000,74246
2,1,1823.22,33018
2,1,2500,40095
2,1,2553,41978
2,1,60129.23,91403
2,1,1003.54,28387
2,1,10000,61300
2,1,23100,76334
2,1,4253.87,47492
2,1,5000,47232
2,1,23084.255,76879
2,1,2000,37943
2,1,6000,53147
2,1,31350,84013
2,1,21311.275,77377
2,1,8923,61201
2,1,44001.472,88687
2,1,6424,54584
2,1,12000,67113
2,1,249365.367,98401
2,2,18170.63,71668
2,1,17291.894,71471
2,1,51790.93,90035
2,1,34165,84139
2,1,10600,60501
2,1,2000,34754
2,1,212872.996,98215
2,1,40346.359,88216
2,1,18,4973
2,1,8670.622,59147
2,1,51274.058,91437
2,1,7549.911,55021
2,1,5000,52236
2,1,19893,73617
2,1,99,13304
2,1,11423.378,65668
2,1,33.175,7560
2,1,29980,82367
2,1,7100,54801
2,1,2327,38943
2,1,4195,46423
2,2,19000,73985
2,1,18264,71904
2,1,10000,63381
2,1,2000,37328
2,1,2700,41170
2,1,6126.096,54249
2,1,3924.253,46760
2,1,5000,52707
2,1,2163.22,36272
2,1,611.945,23106
2,3,0.2,111
3,1,599.98,30634
3,1,2000,46959
